paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
INT_K,INT_S_C,STRING,STRING,INT_S_C,INT_S_C,INT_S_C,INT_S_C,INT_S_C,LIST<INT>_S_C,MAP<INT:INT>_S_C,LIST<INT>_S_C,INT_S_C,INT_S_C,INT_S_C,INT_S_C,LIST<INT>_S_C,LIST<INT>_S_C,LIST<INT>_S_C,LIST<INT>_S_C,INT_S_C,LIST<INT>_C
id,barries_id,desc1,desc,brush_area_id,group_id,in_group_order,interval_time,display_wave_id,monsters_id,monsterslist_ids_and_nums,interval_times_and_nums,wave_kongfu,min_brushtime,iskill_all,index,Brushing_monsters_coordinate,Brushing_monsters_position,Brushing_monsters_relative_position,front_group_order,is_def_show,monster_facing
序号,关卡id,备注,第几区,刷怪区域id,波,一波内刷新顺序,每波刷新时间（毫秒）相对于战区战斗开始,页面展示的波次,怪物id列表,【新刷怪】怪物id以及数量列表,【新刷怪】时间间隔以及数量列表,每波增加的武力值,每波保底刷怪时间（毫秒）,是否需要杀完上波怪再刷本波,战斗区域id,"区域刷怪坐标列表（横百分段值,竖百分段值）","区域刷怪点坐标（横百分段值,竖百分段值）,范围","相对刷怪点（角度0~360,距离,范围）",立即刷怪前置条件波次,是否需要默认显示,怪物朝向列表
110101,1,,,10001,1,1,0,1,11101,0:0,0,0,30000,0,0,"50,50",0,0,0,0,0
110102,1,,,10001,1,2,1000,1,0,11101:3,"0,1,500,1,500,1",0,30000,0,0,0,0,0,0,0,0
110201,1,,,10001,1,3,2500,2,0,11101:8,"0,1,480,1,480,1,480,1,480,1,480,1,480,1,480,1,480,1,480,1,480,1,480,1,480,1,480,1",0,30000,0,0,0,0,0,0,0,0
110301,1,,,10001,1,4,9000,3,0,11101:10_11102:8,"0,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1",0,30000,0,0,0,0,0,0,0,0
110401,1,,,10001,1,5,17500,4,0,11101:12_11102:12,"0,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1,420,1",0,30000,0,0,0,0,0,0,0,0
110501,1,,,10001,1,6,27900,5,0,11101:15_11102:14_11103:1,"0,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1,380,1",0,30000,0,0,0,0,0,0,0,0
110601,1,,,10001,1,7,39300,6,0,11101:18_11102:17_11103:1,"0,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1,340,1",0,30000,0,0,0,0,0,0,0,0
