paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3
INT_K,STRING,LIST<INT>_S,INT_S
skill_id,desc,act_id,effect_id
技能id,备注,技能对应的动作id,技能对应的特效组
95100101,陨石,0,31000020
95200101,落雷,0,31000040
95000101,冰弹,0,31000010
5030001,瘟疫,0,31000030
20021,爆炎冲刺,22101,0
20022,升龙击,22102,0
20023,爆炎冲刺追加砸地,23101,0
20033,雷暴云,0,31000010
20104,毁灭风暴,24101,0
25010001,怪物破韧后受到伤害增加,0,0
201001011,骷髅怪等级1-普攻,"1001001,1001002",0
201002011,骷髅怪等级2-普攻,"1002001,1002002",0
201003001,骷髅怪等级3-普攻,"1003001,1003002",0
201007001,骷髅怪等级4-普攻,"1007001,1007002",0
201004011,骷髅射手等级1远程-普攻,"1004001,1004002",0
201005001,骷髅射手等级2远程-普攻,"1005001,1005002",0
201006001,骷髅射手等级3远程-普攻,"1006001,1006002",0
202001001,强盗等级1-普攻,"2001001,2001002",0
202002001,强盗等级2-普攻,"2002001,2002002",0
202003001,强盗等级3-普攻,"2003001,2003002",0
202004001,强盗等级4-普攻,"2004001,2004002",0
214001011,蜘蛛怪等级1-普攻,"14001001,14001002",0
203001001,僵尸等级2-普攻,"3001001,3001002",0
203002011,僵尸等级2-普攻,"3002001,3002002",0
203003001,僵尸等级3-普攻,"3003001,3003002",0
204001001,狼等级1-普攻,"4001001,4001002",0
204002001,狼等级2-普攻,"4002001,4002002",0
204003001,狼等级3-普攻,"4003001,4003002",0
205001001,狼人等级1-普攻,"5001001,5001002",0
205002001,狼人等级2-普攻,"5002001,5002002",0
205003001,狼人等级3-普攻,"5003001,5003001",0
205004001,狼人等级4-普攻,"5004001,5004002",0
206001001,羊头狼人等级1-普攻,"6001001,6001002",0
206002001,羊头狼人等级2-普攻,"6002001,6002002",0
206003001,羊头狼人等级3-普攻,"6003001,6003002",0
206004001,羊头狼人等级4-普攻,"6004001,6004002",0
207001001,熊等级1-普攻,"7001001,7001002",0
207002001,熊等级2-普攻,"7002001,7002002",0
207003001,熊等级3-普攻,"7003001,7003002",0
208001001,女妖精英-普攻,"8001001,8001002",0
209001001,恶魔石像等级1-普攻,"9001001,9001002",0
209003001,恶魔石像等级3-普攻,"9003001,9003002",0
211001001,沉沦魔等级1-普攻,"11001001,11001002",0
211002001,沉沦魔等级2-普攻,"11002001,11002002",0
211003001,沉沦魔等级3-普攻,"11003001,11003002",0
211004001,沉沦魔等级4-普攻,"11004001,11004002",0
211001001,压迫者等级1-普攻,"11001001,11001002",0
211002001,压迫者等级2-普攻,"11002001,11002002",0
211003001,压迫者等级3-普攻,"11003001,11003002",0
211004001,压迫者等级4-普攻,"11004001,11004002",0
213001001,吸血鬼等级1-普攻,"13001001,13001002",0
213002001,吸血鬼等级2-普攻,"13002001,13002002",0
213003001,吸血鬼等级3-普攻,"13003001,13003002",0
213004001,吸血鬼等级4-普攻,"13004001,13004002",0
216001001,石像鬼精英-普攻,"16001001,16001002,16001003",0
200801001,召唤物-火龙-普攻,801001,0
10101,玩家1档普攻,"21101,21102,21103",0
10102,玩家1档普攻-2,"21101,21102,21103",0
10201,玩家2档普攻,"21101,21102,21103",0
10202,玩家2档普攻-2,"22201,22202,22203,22204,22205",0
10301,玩家3普攻,"23101,23102,23103,23104",0
10302,玩家3普攻-2,"23201,23202,23203,23204,23205,23206",0
